precision,recall,k,learning rate,epoch
0.9033333333333333,0.9033333333333333,1,0.1,5
0.9033333333333333,0.9033333333333333,1,0.1,10
0.9033333333333333,0.9033333333333333,1,0.1,15
0.9033333333333333,0.9033333333333333,1,0.1,20
0.9033333333333333,0.9033333333333333,1,0.1,25
0.9033333333333333,0.9033333333333333,1,0.5,5
0.9033333333333333,0.9033333333333333,1,0.5,10
0.9033333333333333,0.9033333333333333,1,0.5,15
0.9033333333333333,0.9033333333333333,1,0.5,20
0.9033333333333333,0.9033333333333333,1,0.5,25
0.9033333333333333,0.9033333333333333,1,1,5
0.9033333333333333,0.9033333333333333,1,1,10
0.9033333333333333,0.9033333333333333,1,1,15
0.9033333333333333,0.9033333333333333,1,1,20
0.9033333333333333,0.9033333333333333,1,1,25
0.4666666666666667,0.9333333333333333,2,0.1,5
0.4666666666666667,0.9333333333333333,2,0.1,10
0.4666666666666667,0.9333333333333333,2,0.1,15
0.4666666666666667,0.9333333333333333,2,0.1,20
0.4666666666666667,0.9333333333333333,2,0.1,25
0.4666666666666667,0.9333333333333333,2,0.5,5
0.4666666666666667,0.9333333333333333,2,0.5,10
0.4666666666666667,0.9333333333333333,2,0.5,15
0.4666666666666667,0.9333333333333333,2,0.5,20
0.4666666666666667,0.9333333333333333,2,0.5,25
0.4666666666666667,0.9333333333333333,2,1,5
0.4666666666666667,0.9333333333333333,2,1,10
0.4666666666666667,0.9333333333333333,2,1,15
0.4666666666666667,0.9333333333333333,2,1,20
0.4666666666666667,0.9333333333333333,2,1,25
0.32222222222222224,0.9666666666666667,3,0.1,5
0.32222222222222224,0.9666666666666667,3,0.1,10
0.32222222222222224,0.9666666666666667,3,0.1,15
0.32222222222222224,0.9666666666666667,3,0.1,20
0.32222222222222224,0.9666666666666667,3,0.1,25
0.32222222222222224,0.9666666666666667,3,0.5,5
0.32222222222222224,0.9666666666666667,3,0.5,10
0.32222222222222224,0.9666666666666667,3,0.5,15
0.32222222222222224,0.9666666666666667,3,0.5,20
0.32222222222222224,0.9666666666666667,3,0.5,25
0.32222222222222224,0.9666666666666667,3,1,5
0.32222222222222224,0.9666666666666667,3,1,10
0.32222222222222224,0.9666666666666667,3,1,15
0.32222222222222224,0.9666666666666667,3,1,20
0.32222222222222224,0.9666666666666667,3,1,25
0.25,1.0,4,0.1,5
0.25,1.0,5,0.1,5
0.25,1.0,4,0.1,10
0.25,1.0,5,0.1,10
0.25,1.0,4,0.1,15
0.25,1.0,5,0.1,15
0.25,1.0,4,0.1,20
0.25,1.0,5,0.1,20
0.25,1.0,4,0.1,25
0.25,1.0,5,0.1,25
0.25,1.0,4,0.5,5
0.25,1.0,5,0.5,5
0.25,1.0,4,0.5,10
0.25,1.0,5,0.5,10
0.25,1.0,4,0.5,15
0.25,1.0,5,0.5,15
0.25,1.0,4,0.5,20
0.25,1.0,5,0.5,20
0.25,1.0,4,0.5,25
0.25,1.0,5,0.5,25
0.25,1.0,4,1,5
0.25,1.0,5,1,5
0.25,1.0,4,1,10
0.25,1.0,5,1,10
0.25,1.0,4,1,15
0.25,1.0,5,1,15
0.25,1.0,4,1,20
0.25,1.0,5,1,20
0.25,1.0,4,1,25
0.25,1.0,5,1,25
