precision,recall,k,learning rate,epoch
0.7333333333333333,0.6470588235294118,1,0.1,5
0.7333333333333333,0.6470588235294118,1,0.1,10
0.7333333333333333,0.6470588235294118,1,0.1,15
0.7333333333333333,0.6470588235294118,1,0.1,20
0.7333333333333333,0.6470588235294118,1,0.1,25
0.7333333333333333,0.6470588235294118,1,0.5,5
0.7333333333333333,0.6470588235294118,1,0.5,10
0.7333333333333333,0.6470588235294118,1,0.5,15
0.7333333333333333,0.6470588235294118,1,0.5,20
0.7333333333333333,0.6470588235294118,1,0.5,25
0.7333333333333333,0.6470588235294118,1,1,5
0.7333333333333333,0.6470588235294118,1,1,10
0.7333333333333333,0.6470588235294118,1,1,15
0.7333333333333333,0.6470588235294118,1,1,20
0.7,0.6176470588235294,1,1,25
0.43333333333333335,0.7647058823529411,2,0.1,5
0.43333333333333335,0.7647058823529411,2,0.1,10
0.43333333333333335,0.7647058823529411,2,0.1,15
0.43333333333333335,0.7647058823529411,2,0.1,20
0.43333333333333335,0.7647058823529411,2,0.1,25
0.43333333333333335,0.7647058823529411,2,0.5,20
0.43333333333333335,0.7647058823529411,2,0.5,25
0.43333333333333335,0.7647058823529411,2,1,5
0.43333333333333335,0.7647058823529411,2,1,15
0.4,0.7058823529411765,2,0.5,5
0.4,0.7058823529411765,2,0.5,10
0.4,0.7058823529411765,2,0.5,15
0.4,0.7058823529411765,2,1,10
0.4,0.7058823529411765,2,1,20
0.4,0.7058823529411765,2,1,25
0.32222222222222224,0.8529411764705882,3,1,15
0.3111111111111111,0.8235294117647058,3,0.1,5
0.3111111111111111,0.8235294117647058,3,0.1,10
0.3111111111111111,0.8235294117647058,3,0.1,15
0.3111111111111111,0.8235294117647058,3,0.1,20
0.3111111111111111,0.8235294117647058,3,0.1,25
0.3111111111111111,0.8235294117647058,3,0.5,20
0.3111111111111111,0.8235294117647058,3,0.5,25
0.3111111111111111,0.8235294117647058,3,1,5
0.3,0.7941176470588235,3,0.5,10
0.28888888888888886,0.7647058823529411,3,0.5,5
0.28888888888888886,0.7647058823529411,3,0.5,15
0.28888888888888886,0.7647058823529411,3,1,10
0.28888888888888886,0.7647058823529411,3,1,20
0.28888888888888886,0.7647058823529411,3,1,25
0.24166666666666667,0.8529411764705882,4,1,15
0.23333333333333334,0.8235294117647058,4,0.1,5
0.23333333333333334,0.8235294117647058,4,0.1,10
0.23333333333333334,0.8235294117647058,4,0.1,15
0.23333333333333334,0.8235294117647058,4,0.1,20
0.23333333333333334,0.8235294117647058,4,0.1,25
0.23333333333333334,0.8235294117647058,4,0.5,20
0.23333333333333334,0.8235294117647058,4,0.5,25
0.23333333333333334,0.8235294117647058,4,1,5
0.225,0.7941176470588235,4,0.5,10
0.225,0.7941176470588235,4,1,20
0.21666666666666667,0.7647058823529411,4,0.5,5
0.21666666666666667,0.7647058823529411,4,0.5,15
0.21666666666666667,0.7647058823529411,4,1,10
0.21666666666666667,0.7647058823529411,4,1,25
0.21333333333333335,0.9411764705882353,5,0.1,5
0.21333333333333335,0.9411764705882353,5,0.1,10
0.21333333333333335,0.9411764705882353,5,0.1,15
0.21333333333333335,0.9411764705882353,5,0.1,20
0.21333333333333335,0.9411764705882353,5,0.1,25
0.21333333333333335,0.9411764705882353,5,0.5,20
0.21333333333333335,0.9411764705882353,5,0.5,25
0.21333333333333335,0.9411764705882353,5,1,5
0.21333333333333335,0.9411764705882353,5,1,15
0.2,0.8823529411764706,5,0.5,5
0.2,0.8823529411764706,5,0.5,10
0.2,0.8823529411764706,5,0.5,15
0.2,0.8823529411764706,5,1,10
0.2,0.8823529411764706,5,1,20
0.19333333333333333,0.8529411764705882,5,1,25
