precision,recall,k,learning rate,epoch
0.9331103678929766,0.9331103678929766,1,1,15
0.9331103678929766,0.9331103678929766,1,1,20
0.9297658862876255,0.9297658862876255,1,0.1,5
0.9297658862876255,0.9297658862876255,1,0.1,10
0.9297658862876255,0.9297658862876255,1,0.1,15
0.9297658862876255,0.9297658862876255,1,0.1,20
0.9297658862876255,0.9297658862876255,1,0.1,25
0.9297658862876255,0.9297658862876255,1,0.5,5
0.9297658862876255,0.9297658862876255,1,0.5,10
0.9297658862876255,0.9297658862876255,1,0.5,15
0.9297658862876255,0.9297658862876255,1,0.5,25
0.9297658862876255,0.9297658862876255,1,1,10
0.9297658862876255,0.9297658862876255,1,1,25
0.9264214046822743,0.9264214046822743,1,0.5,20
0.9264214046822743,0.9264214046822743,1,1,5
0.49331103678929766,0.9866220735785953,2,0.1,5
0.4916387959866221,0.9832775919732442,2,0.1,10
0.4916387959866221,0.9832775919732442,2,0.1,15
0.4916387959866221,0.9832775919732442,2,0.1,20
0.4916387959866221,0.9832775919732442,2,0.1,25
0.4916387959866221,0.9832775919732442,2,0.5,5
0.4916387959866221,0.9832775919732442,2,0.5,10
0.4899665551839465,0.979933110367893,2,0.5,15
0.4899665551839465,0.979933110367893,2,0.5,20
0.4899665551839465,0.979933110367893,2,0.5,25
0.4899665551839465,0.979933110367893,2,1,5
0.4899665551839465,0.979933110367893,2,1,15
0.4882943143812709,0.9765886287625418,2,1,10
0.4882943143812709,0.9765886287625418,2,1,20
0.4882943143812709,0.9765886287625418,2,1,25
0.32998885172798215,0.9899665551839465,3,0.1,5
0.32998885172798215,0.9899665551839465,3,0.1,10
0.32887402452619846,0.9866220735785953,3,0.1,15
0.32887402452619846,0.9866220735785953,3,0.1,20
0.32887402452619846,0.9866220735785953,3,0.1,25
0.32887402452619846,0.9866220735785953,3,0.5,5
0.32887402452619846,0.9866220735785953,3,0.5,10
0.3277591973244147,0.9832775919732442,3,0.5,15
0.3277591973244147,0.9832775919732442,3,0.5,20
0.3277591973244147,0.9832775919732442,3,0.5,25
0.3277591973244147,0.9832775919732442,3,1,5
0.3277591973244147,0.9832775919732442,3,1,15
0.326644370122631,0.979933110367893,3,1,10
0.326644370122631,0.979933110367893,3,1,20
0.326644370122631,0.979933110367893,3,1,25
0.24749163879598662,0.9899665551839465,4,0.1,5
0.24749163879598662,0.9899665551839465,4,0.1,10
0.24749163879598662,0.9899665551839465,4,0.1,15
0.24749163879598662,0.9899665551839465,4,0.1,20
0.24749163879598662,0.9899665551839465,4,0.1,25
0.24665551839464883,0.9866220735785953,4,0.5,5
0.24665551839464883,0.9866220735785953,4,0.5,10
0.24581939799331104,0.9832775919732442,4,0.5,15
0.24581939799331104,0.9832775919732442,4,0.5,20
0.24581939799331104,0.9832775919732442,4,0.5,25
0.24581939799331104,0.9832775919732442,4,1,5
0.24581939799331104,0.9832775919732442,4,1,15
0.24498327759197325,0.979933110367893,4,1,10
0.24498327759197325,0.979933110367893,4,1,20
0.24498327759197325,0.979933110367893,4,1,25
0.1979933110367893,0.9899665551839465,5,0.1,5
0.1979933110367893,0.9899665551839465,5,0.1,10
0.1979933110367893,0.9899665551839465,5,0.1,15
0.1979933110367893,0.9899665551839465,5,0.1,20
0.1979933110367893,0.9899665551839465,5,0.1,25
0.1979933110367893,0.9899665551839465,5,0.5,10
0.19732441471571907,0.9866220735785953,5,0.5,5
0.19732441471571907,0.9866220735785953,5,0.5,20
0.19732441471571907,0.9866220735785953,5,1,5
0.19665551839464884,0.9832775919732442,5,0.5,15
0.19665551839464884,0.9832775919732442,5,0.5,25
0.19665551839464884,0.9832775919732442,5,1,15
0.19665551839464884,0.9832775919732442,5,1,20
0.1959866220735786,0.979933110367893,5,1,10
0.1959866220735786,0.979933110367893,5,1,25
