Collcetion,Average_prob,Max_prob,Min_prob
Amphibians,0.9840549616252675,1.00001,0.69926447
Birds,0.9877387822843066,1.00001,0.8991314
Botany,0.9564395413971415,1.00001,0.09269778
Entomology,0.9624460444730871,1.00001,0.692652
Fishes,0.5438034248118307,0.9965266,0.042097725
Mammals,0.9913273266717499,1.00001,0.8991314
zoology,0.8462765006458058,0.99963003,0.1732982
