precision,recall,k,learning rate,epoch
0.9498327759197325,0.922077922077922,1,0.5,5
0.9498327759197325,0.922077922077922,1,0.5,25
0.9464882943143813,0.9188311688311688,1,0.1,5
0.9464882943143813,0.9188311688311688,1,0.5,20
0.9464882943143813,0.9188311688311688,1,1,5
0.9464882943143813,0.9188311688311688,1,1,10
0.9431438127090301,0.9155844155844156,1,0.1,10
0.9431438127090301,0.9155844155844156,1,0.1,15
0.9431438127090301,0.9155844155844156,1,0.5,15
0.939799331103679,0.9123376623376623,1,0.1,20
0.939799331103679,0.9123376623376623,1,0.1,25
0.939799331103679,0.9123376623376623,1,1,20
0.939799331103679,0.9123376623376623,1,1,25
0.9364548494983278,0.9090909090909091,1,0.5,10
0.9364548494983278,0.9090909090909091,1,1,15
0.5033444816053512,0.9772727272727273,2,0.1,5
0.5033444816053512,0.9772727272727273,2,0.1,10
0.5033444816053512,0.9772727272727273,2,0.1,15
0.5033444816053512,0.9772727272727273,2,0.1,20
0.5033444816053512,0.9772727272727273,2,0.1,25
0.5,0.9707792207792207,2,0.5,5
0.4983277591973244,0.9675324675324676,2,0.5,10
0.4983277591973244,0.9675324675324676,2,0.5,15
0.4983277591973244,0.9675324675324676,2,0.5,20
0.4983277591973244,0.9675324675324676,2,0.5,25
0.4983277591973244,0.9675324675324676,2,1,5
0.4983277591973244,0.9675324675324676,2,1,10
0.4983277591973244,0.9675324675324676,2,1,15
0.4983277591973244,0.9675324675324676,2,1,20
0.4983277591973244,0.9675324675324676,2,1,25
0.33890746934225197,0.987012987012987,3,0.1,5
0.33890746934225197,0.987012987012987,3,0.1,10
0.33890746934225197,0.987012987012987,3,0.1,15
0.33890746934225197,0.987012987012987,3,0.1,20
0.33890746934225197,0.987012987012987,3,0.1,25
0.3377926421404682,0.9837662337662337,3,0.5,5
0.3377926421404682,0.9837662337662337,3,0.5,10
0.3377926421404682,0.9837662337662337,3,0.5,15
0.3377926421404682,0.9837662337662337,3,0.5,20
0.3377926421404682,0.9837662337662337,3,0.5,25
0.3377926421404682,0.9837662337662337,3,1,5
0.3377926421404682,0.9837662337662337,3,1,10
0.3377926421404682,0.9837662337662337,3,1,15
0.3377926421404682,0.9837662337662337,3,1,20
0.3377926421404682,0.9837662337662337,3,1,25
0.25585284280936454,0.9935064935064936,4,0.1,5
0.25585284280936454,0.9935064935064936,4,0.1,10
0.25585284280936454,0.9935064935064936,4,0.1,15
0.25585284280936454,0.9935064935064936,4,0.1,20
0.25585284280936454,0.9935064935064936,4,0.1,25
0.25501672240802675,0.9902597402597403,4,0.5,5
0.25501672240802675,0.9902597402597403,4,0.5,10
0.25501672240802675,0.9902597402597403,4,0.5,15
0.25501672240802675,0.9902597402597403,4,0.5,20
0.25501672240802675,0.9902597402597403,4,0.5,25
0.25501672240802675,0.9902597402597403,4,1,5
0.25501672240802675,0.9902597402597403,4,1,10
0.25501672240802675,0.9902597402597403,4,1,15
0.25501672240802675,0.9902597402597403,4,1,20
0.25501672240802675,0.9902597402597403,4,1,25
0.20468227424749164,0.9935064935064936,5,0.1,5
0.20468227424749164,0.9935064935064936,5,0.1,10
0.20468227424749164,0.9935064935064936,5,0.1,15
0.20468227424749164,0.9935064935064936,5,0.1,20
0.20468227424749164,0.9935064935064936,5,0.1,25
0.20468227424749164,0.9935064935064936,5,0.5,5
0.20468227424749164,0.9935064935064936,5,0.5,10
0.20468227424749164,0.9935064935064936,5,0.5,15
0.20468227424749164,0.9935064935064936,5,0.5,20
0.20468227424749164,0.9935064935064936,5,0.5,25
0.20468227424749164,0.9935064935064936,5,1,5
0.20468227424749164,0.9935064935064936,5,1,10
0.20468227424749164,0.9935064935064936,5,1,15
0.20468227424749164,0.9935064935064936,5,1,20
0.20468227424749164,0.9935064935064936,5,1,25
